1e+20,70,86,64,91,55,64,78,79,81,70,80,93,79,65,83,97,57,61,68,60,87,65,73,60,72,88,73,79,65,88,81,94,66,78,61,77,90,88,62,85,83,54,65,67,57,62,80,82,93,70,75,70,73,101,86,78,77,77,75,73,79,64,63,72,55,61,59,75,81,78,72,74,74,66,78,64,83,70,61,75,80,79,104,68,64,76,60,92,65,70,78,67,78,85,92,81,80,85,70,94,69,71,76,66
70,1e+20,69,53,65,68,51,63,66,60,69,69,67,57,66,73,71,56,61,54,64,64,60,71,58,65,64,63,75,63,67,55,61,63,58,55,66,65,60,52,67,68,53,62,52,47,79,62,72,69,53,53,61,63,62,57,66,63,65,76,56,73,53,62,73,52,52,74,80,65,70,60,64,59,67,63,63,62,61,74,61,67,67,69,60,51,62,54,68,64,61,65,71,73,60,60,57,57,73,64,68,58,71,75,68
86,69,1e+20,54,79,64,53,63,78,85,66,99,91,76,62,77,81,54,58,71,78,95,67,82,63,66,82,72,104,83,85,74,86,71,74,61,80,86,68,60,82,57,55,69,69,51,57,81,102,87,72,54,60,65,85,68,77,65,80,69,70,76,64,68,84,49,58,56,80,74,80,69,69,74,59,72,69,75,66,61,84,74,75,87,69,62,71,54,90,55,74,84,77,74,91,83,90,80,90,78,83,68,59,71,60
64,53,54,1e+20,49,44,47,67,54,57,51,54,56,55,50,51,69,52,36,60,53,62,46,53,61,59,66,59,58,53,74,54,62,47,61,46,54,63,60,58,52,68,60,38,70,87,62,58,58,61,51,43,53,86,66,66,52,48,53,49,55,51,75,43,59,35,50,40,52,67,66,66,59,48,46,55,64,50,43,50,42,51,64,61,67,76,51,41,63,58,82,55,59,55,54,60,59,51,52,45,73,47,73,55,67
91,65,79,49,1e+20,59,59,63,78,63,66,65,87,65,67,76,80,58,59,70,71,79,59,68,64,66,70,68,78,57,67,66,75,73,72,60,95,69,65,62,83,71,51,59,64,46,56,77,73,70,62,62,62,72,70,71,65,61,75,72,73,82,60,71,70,49,59,58,72,76,81,68,75,62,59,74,58,62,78,58,70,79,74,82,71,50,76,53,77,63,69,66,68,74,78,67,72,68,82,68,80,62,62,79,65
55,68,64,44,59,1e+20,63,82,65,50,94,62,78,66,64,60,68,47,57,65,89,65,66,75,71,54,71,54,82,73,72,68,55,81,63,73,74,66,71,48,59,68,46,53,45,35,52,79,62,56,57,43,64,57,64,56,57,60,76,59,65,76,47,84,88,54,61,54,67,72,82,67,78,57,67,65,62,65,71,50,58,69,69,59,66,44,62,61,65,49,66,44,85,66,61,74,55,48,67,48,75,61,49,82,55
64,51,53,47,59,63,1e+20,75,76,58,70,80,82,60,53,82,76,52,44,53,71,71,63,64,56,50,74,57,73,64,65,60,64,44,77,60,68,66,65,51,79,77,48,57,68,38,39,79,59,49,46,43,55,66,78,66,55,43,64,61,54,52,52,67,78,44,74,48,63,66,67,70,76,52,75,54,60,71,60,50,62,58,53,48,69,46,60,40,69,47,66,55,61,74,44,68,71,58,72,53,74,41,40,56,51
78,63,63,67,63,82,75,1e+20,69,72,68,66,91,67,73,74,84,59,55,62,69,74,76,68,67,67,81,61,80,79,73,68,73,68,78,80,73,73,78,58,69,100,64,53,62,49,59,84,68,61,57,47,65,73,82,82,56,64,66,61,62,74,68,64,81,48,70,48,68,80,78,64,80,62,68,76,68,73,61,60,61,69,74,82,66,57,65,51,74,68,66,63,60,77,89,82,80,61,75,40,92,58,63,71,64
79,66,78,54,78,65,76,69,1e+20,68,65,73,82,64,58,85,88,68,59,66,65,77,79,57,69,74,75,66,77,65,84,60,93,59,80,54,81,76,69,63,88,74,50,59,58,52,56,79,70,66,65,60,71,73,91,65,54,67,64,65,54,76,68,71,79,53,60,63,74,75,85,76,71,72,77,75,60,76,71,55,72,74,68,73,72,55,70,46,75,52,72,64,68,67,72,78,69,66,81,69,79,62,66,86,70
81,60,85,57,63,50,58,72,68,1e+20,65,68,78,85,59,74,73,53,52,55,64,77,73,73,51,57,83,62,75,73,86,67,65,61,80,60,63,74,87,62,70,66,42,55,64,43,46,78,86,68,58,45,75,68,76,60,70,55,69,68,60,71,59,59,65,68,57,47,69,68,68,78,69,63,62,67,55,68,66,60,67,68,56,80,61,51,63,43,86,53,65,64,66,75,67,71,87,71,73,60,79,52,48,61,54
70,69,66,51,66,94,70,68,65,65,1e+20,67,83,72,67,61,61,49,58,68,84,70,76,74,72,62,76,54,72,74,66,66,80,68,76,83,69,76,74,56,84,62,46,51,50,39,58,84,73,77,58,62,66,64,71,68,75,56,86,63,72,70,48,75,78,57,63,56,78,69,79,75,82,46,61,68,73,69,68,48,64,70,75,72,62,49,69,53,70,52,67,64,81,71,52,79,55,72,65,60,76,64,59,76,57
80,69,99,54,65,62,80,66,73,68,67,1e+20,69,67,67,79,82,51,58,63,73,88,65,89,61,57,80,65,92,94,70,80,73,54,70,74,79,76,72,60,80,71,62,66,72,51,52,74,82,85,67,55,65,71,92,77,82,52,72,71,71,73,62,63,72,47,53,53,94,75,71,76,78,78,72,68,72,77,66,60,73,78,74,72,72,63,73,54,75,53,79,70,81,88,67,78,79,68,87,74,79,69,51,71,59
93,67,91,56,87,78,82,91,82,78,83,69,1e+20,81,60,86,91,59,59,78,82,86,78,81,63,73,91,53,96,74,86,82,91,70,91,67,89,90,72,68,86,84,54,73,61,48,61,92,81,86,61,75,69,68,88,76,78,65,78,76,75,78,56,72,85,54,79,60,82,79,94,70,80,70,69,69,68,77,73,49,80,83,72,90,73,60,75,56,96,62,73,86,65,81,87,88,77,79,88,62,102,73,65,75,62
79,57,76,55,65,66,60,67,64,85,72,67,81,1e+20,58,68,71,49,62,66,70,73,69,86,58,63,72,64,80,80,73,70,75,52,77,64,67,73,74,70,80,54,48,48,64,49,48,60,78,73,62,64,74,68,72,62,109,55,68,66,65,67,55,70,57,59,54,49,78,67,68,66,65,67,72,63,61,63,56,52,67,65,69,74,61,58,72,54,84,58,67,81,68,71,75,67,67,103,67,61,76,50,54,74,60
65,66,62,50,67,64,53,73,58,59,67,67,60,58,1e+20,60,65,57,67,57,66,67,59,66,64,91,64,55,62,74,61,49,59,72,66,59,65,59,64,60,65,74,54,56,56,48,71,62,65,60,53,51,58,62,60,64,60,60,72,60,60,76,56,64,49,49,63,60,73,71,64,63,67,50,55,61,59,61,62,68,56,62,73,68,57,61,65,54,70,78,64,56,65,62,61,67,61,53,57,51,64,53,64,81,64
