1e+20,43,55,57,71,78,64,42,45,74,54,74,41,46,42,46,73,68,32,44,39,78,50,36,51,40,57,47,53,57,46,60,52,20,40,50,69,42,41,28,8,24,35,33,48,44,34,26,47,63,36,37,48,44,36,44,28,16,51,19,57,43,71,22,44,46,78,53,51,28,41,45,71,40,71,45,73,57,71,38,36,43,29,62,86,144,43,43,49,36,48,21,58,26,12,39,24,35,44,35,35,33,33,38,31,44,60,18,36,30,38,37,37,42,41,49,21,35,24,48,38,51,47,71,27,45,49,34,60,72,43,35,49,58,39,36,36,44,42,82,144,78,36,51,50,45,78,43,46,44,33,28,69,35,30,54,41,41,18,16,28,60,29,39,8,41,62,34,59,63,32,60,30,59,21,65,39,50,58,25
43,1e+20,51,45,25,42,57,61,60,28,51,43,46,46,50,34,28,30,59,45,44,56,51,51,70,63,69,69,45,66,27,50,13,80,43,23,38,39,39,13,4,31,40,48,46,41,32,50,43,42,24,50,48,27,43,50,39,15,15,62,32,144,52,49,65,94,42,45,41,93,46,58,37,63,25,37,28,45,27,85,35,33,20,39,46,43,69,57,46,41,30,22,29,50,8,48,31,27,47,37,33,26,29,37,15,58,33,15,24,36,43,39,50,37,47,63,32,40,17,29,35,41,71,27,79,48,46,66,52,48,69,47,47,80,72,70,51,45,65,30,43,40,35,37,51,71,56,33,51,41,26,15,31,33,28,31,33,47,27,15,39,46,23,42,4,39,24,32,28,38,39,50,39,29,19,31,48,19,29,17
55,51,1e+20,52,43,66,64,46,51,57,53,61,45,51,57,45,51,41,41,36,59,67,45,40,48,63,55,47,56,47,43,47,32,35,54,42,51,54,54,23,8,35,55,36,48,54,52,47,45,59,51,51,51,50,35,47,44,24,34,27,48,51,54,39,46,50,66,56,46,31,45,64,37,63,43,43,51,52,46,41,55,51,24,61,60,55,66,53,55,50,50,26,59,47,13,61,35,54,38,57,46,27,36,44,24,54,55,24,51,37,50,54,51,54,44,66,35,55,36,55,48,46,42,46,35,43,55,54,62,50,66,52,48,64,52,43,40,60,53,60,55,55,55,41,45,41,67,51,55,58,27,26,46,46,42,54,50,44,22,24,44,50,35,51,8,54,45,52,52,46,49,47,39,57,25,57,61,39,59,25
57,45,52,1e+20,58,44,66,46,46,74,52,64,54,66,61,67,68,45,52,44,58,46,58,43,65,74,63,49,74,66,64,51,23,38,56,47,57,63,65,46,14,41,60,45,75,60,40,44,46,57,27,50,64,43,39,48,50,28,55,19,69,45,76,32,67,51,44,74,56,31,54,50,73,74,58,65,68,144,59,49,52,52,26,55,70,57,58,64,64,55,56,34,46,44,18,53,41,36,55,59,43,48,54,55,54,62,50,23,27,37,63,44,50,42,52,54,28,60,29,57,36,56,58,59,35,38,64,61,81,50,58,37,69,76,57,53,43,65,46,59,57,69,52,69,58,41,46,52,40,54,48,25,49,43,37,46,64,52,36,28,50,59,30,54,14,65,46,40,35,58,46,51,42,39,24,36,53,28,46,31
71,25,43,58,1e+20,76,46,25,28,70,45,48,47,44,34,50,80,93,30,26,37,60,30,23,40,36,26,26,58,25,50,38,45,19,30,50,64,42,59,44,9,27,24,21,31,40,27,21,32,36,32,26,45,36,33,34,28,29,51,15,64,25,57,22,33,26,76,58,42,15,47,24,75,36,144,57,80,58,61,25,35,29,15,41,71,71,34,41,48,32,33,15,51,21,11,34,27,19,45,50,31,17,28,36,48,36,56,28,32,19,23,30,26,30,26,45,11,24,26,67,23,42,28,61,17,33,48,29,61,58,34,29,58,44,31,26,23,50,27,38,71,95,35,78,30,30,60,29,31,57,17,17,59,31,25,59,52,26,11,29,28,34,23,27,9,59,56,27,39,66,31,38,29,43,16,48,34,44,51,16
78,42,66,44,76,1e+20,61,40,46,65,34,82,41,45,30,59,69,72,45,21,59,83,29,31,43,49,46,37,62,39,59,45,51,22,30,60,69,65,62,32,7,24,40,19,38,39,33,31,37,43,36,36,55,32,35,38,33,19,46,15,44,42,95,29,45,45,144,62,34,27,41,43,64,49,76,58,69,44,61,34,61,30,18,55,62,78,50,31,68,44,27,16,65,31,11,40,24,22,41,81,29,24,35,27,43,46,47,19,36,27,33,29,36,55,36,50,17,40,19,65,32,34,31,61,26,33,68,32,79,59,50,40,56,61,38,28,31,64,43,66,78,85,61,57,29,33,83,30,43,52,24,18,48,29,29,74,56,36,13,19,33,38,31,29,7,62,76,33,46,59,40,45,32,56,20,68,40,51,65,15
64,57,64,66,46,61,1e+20,55,76,66,44,68,34,80,43,40,49,42,49,35,76,62,44,44,60,53,80,40,54,96,36,72,34,50,49,40,47,52,76,28,12,39,47,46,43,38,45,56,57,47,48,62,68,47,38,49,44,36,35,29,50,57,70,61,57,61,61,54,41,43,34,63,45,53,46,41,49,66,51,51,65,57,24,57,53,64,78,60,65,47,50,27,51,56,21,56,39,44,44,52,42,38,32,52,33,63,59,38,48,37,54,46,62,45,50,49,35,47,27,49,53,41,44,51,35,40,65,58,61,52,78,36,51,76,77,45,44,52,64,59,64,61,65,45,44,48,62,57,48,47,38,22,40,42,37,52,49,50,23,36,44,56,43,51,12,76,41,45,41,57,43,72,49,50,35,64,56,32,51,29
42,61,46,46,25,40,55,1e+20,46,56,44,47,57,47,38,52,35,30,53,34,45,55,37,56,50,49,65,85,54,69,31,58,25,41,50,23,31,27,48,26,18,46,43,37,61,37,34,34,53,40,41,59,52,25,51,50,43,33,32,39,46,61,54,36,68,53,40,54,38,67,57,61,38,49,25,53,35,46,39,55,43,43,18,26,42,42,58,45,64,36,37,22,31,34,18,46,46,36,60,48,34,54,37,41,29,49,43,21,41,48,49,43,59,30,49,55,43,43,32,36,42,38,64,39,32,49,64,52,64,48,58,83,73,72,51,56,56,42,67,53,42,26,43,43,37,39,55,43,68,45,54,18,32,34,36,40,38,49,52,33,43,49,48,46,18,48,29,34,25,39,41,58,52,29,22,46,46,18,31,28
45,60,51,46,28,46,76,46,1e+20,37,52,45,49,87,36,42,40,31,80,47,60,55,56,43,56,58,96,53,37,84,28,73,30,49,44,28,36,38,44,25,15,40,42,55,38,53,39,53,50,40,46,55,85,37,46,47,40,30,31,49,39,60,50,64,55,85,46,37,35,67,49,70,26,58,28,34,40,46,38,75,58,43,27,40,48,45,72,49,48,43,41,30,36,53,22,47,40,41,49,45,36,28,27,44,20,50,33,26,46,36,74,39,55,40,44,58,35,42,27,31,64,35,64,38,58,45,48,73,50,47,72,43,45,74,94,50,43,51,83,43,45,36,58,29,56,71,55,43,44,49,28,23,39,36,37,39,47,44,42,30,40,50,34,49,15,44,24,39,33,53,33,73,46,37,26,54,47,25,36,25
74,28,57,74,70,65,66,56,37,1e+20,52,77,50,49,41,68,99,67,41,30,48,53,35,47,48,48,50,43,70,41,55,46,56,39,47,58,61,47,65,57,17,38,36,34,65,58,42,38,31,56,40,32,52,39,31,29,47,25,63,32,70,28,73,29,50,33,65,70,58,28,50,38,66,48,70,63,99,74,52,43,42,53,24,49,58,74,53,36,49,34,44,29,50,38,28,44,38,41,60,51,31,51,32,49,59,51,65,22,40,26,32,30,32,38,37,40,28,36,37,52,31,58,55,52,17,37,49,44,76,57,53,38,64,37,32,33,47,49,38,78,74,74,42,66,35,36,53,53,42,55,51,30,61,31,40,46,52,37,33,25,47,40,29,42,17,65,67,42,47,72,46,46,44,53,35,58,44,45,50,36
